	ʔ	ɔ	r	d	e	ɛ	ə	a	j	ɑ	i	æ	t	ʀ	ɾ	x	ɦ	n	z	o	œ	u	ɣ	s	w	f	ŋ	ɵ	m	ʃ	ø	ʊ	p	l	b	v	ɪ	ʏ	k	y	ɡ	ʒ	ɱ	ɲ	ʋ	ʉ	h	ɟ	-
i	0.984878	0.0306978	0.992096	0.987439	0.0168672	0.021832	0.0287765	0.0305002	0.0202791	0.030039	0	0.027968	0.98718	0.987946	0.986223	0.988516	0.988211	0.994522	0.985433	0.0337355	0.0297162	0.0295421	0.988001	0.989145	0.0317771	0.986776	0.986695	0.0328577	0.985409	0.982024	0.0292029	0.0318515	0.979122	0.982363	0.979723	0.987805	0.0167999	0.0265281	0.985477	0.0213143	0.972324	0.970727	0.973443	0.973158	0.0540462	0.0327433	0.975173	0.954976	0.0262148
æ	0.980253	0.0245223	0.987471	0.982814	0.0219429	0.0147186	0.0381854	0.0201084	0.0537194	0.0192209	0.027968	0	0.982555	0.983321	0.981598	0.983891	0.983586	0.989897	0.980808	0.029385	0.0249827	0.0379419	0.983376	0.98452	0.0543864	0.982151	0.98207	0.02664	0.980784	0.977399	0.0328571	0.0288238	0.974497	0.977738	0.975098	0.98318	0.0235965	0.0251274	0.980852	0.0360938	0.967699	0.966102	0.968818	0.968533	0.0631227	0.0398402	0.970548	0.950351	0.0360388
t	0.018231	0.987227	0.0257747	0.0128707	0.98677	0.987038	0.992658	0.985375	0.0326861	0.986103	0.98718	0.982555	0	0.0329744	0.0346682	0.0338466	0.045782	0.0286444	0.0363462	0.984547	0.98242	0.98512	0.040395	0.0241257	0.0255763	0.0339422	0.02938	0.979068	0.0346465	0.0266354	0.981251	0.978657	0.0216366	0.0207337	0.0385175	0.0375581	0.977149	0.973982	0.0198204	0.982341	0.0275423	0.965435	0.96815	0.0289011	0.0355387	0.966606	0.0326578	0.0193974	0.0239572
ʀ	0.0488424	0.987993	0.0115888	0.0312923	0.987536	0.987803	0.993423	0.986141	0.03896	0.986869	0.987946	0.983321	0.0329744	0	0.0174677	0.0315105	0.983685	0.0337326	0.0363946	0.985313	0.983186	0.985886	0.0433189	0.0353333	0.0570704	0.056036	0.0402914	0.979834	0.0349966	0.0493462	0.982016	0.979423	0.0376121	0.0288493	0.0348903	0.0633553	0.977914	0.974748	0.047506	0.983107	0.0339998	0.0470397	0.037017	0.968631	0.0536047	0.967372	0.970646	0.950449	0.0318871
ɾ	0.0448734	0.98627	0.0116061	0.0287789	0.985813	0.98608	0.9917	0.984418	0.037421	0.985146	0.986223	0.981598	0.0346682	0.0174677	0	0.0338977	0.981962	0.0351615	0.0429733	0.98359	0.981463	0.984163	0.0508931	0.0435148	0.0418831	0.0593617	0.0544339	0.978111	0.0413164	0.0509167	0.980293	0.9777	0.972872	0.0344915	0.0310173	0.0416898	0.976191	0.973025	0.0434832	0.981384	0.966074	0.0541711	0.967193	0.966908	0.971804	0.965649	0.968923	0.948726	0.0328694
x	0.0264931	0.988563	0.0260341	0.0399424	0.988106	0.988374	0.993994	0.986711	0.0245696	0.987439	0.988516	0.983891	0.0338466	0.0315105	0.0338977	0	0.0185219	0.0338596	0.0370484	0.985883	0.983756	0.986456	0.0104268	0.0367646	0.0331284	0.0300962	0.0316173	0.980404	0.0400362	0.0246946	0.982587	0.979993	0.0530089	0.0379424	0.0432236	0.0458574	0.978484	0.975318	0.0131146	0.983677	0.0157717	0.966771	0.042713	0.969201	0.042726	0.967942	0.971217	0.0288633	0.0284656
ɦ	0.0219101	0.988259	0.0440865	0.983178	0.987802	0.988069	0.993689	0.986407	0.0268551	0.987135	0.988211	0.983586	0.045782	0.983685	0.981962	0.0185219	0	0.0370554	0.0386422	0.985579	0.983452	0.986152	0.0155702	0.0405865	0.0277393	0.0549297	0.0311828	0.980099	0.0446832	0.0376659	0.982282	0.979688	0.974861	0.978102	0.975462	0.0489601	0.97818	0.975013	0.0366802	0.983372	0.968063	0.966466	0.969182	0.0455487	0.973793	0.967637	0.970912	0.950715	0.022185
n	0.0400013	0.99457	0.0313907	0.0322278	0.994113	0.99438	1	0.992717	0.026465	0.993445	0.994522	0.989897	0.0286444	0.0337326	0.0351615	0.0338596	0.0370554	0	0.0367873	0.99189	0.989763	0.992463	0.0319905	0.0241595	0.0332627	0.04634	0.017792	0.98641	0.0198673	0.0309805	0.988593	0.985999	0.0357989	0.0274429	0.0335134	0.0364845	0.984491	0.981324	0.0366953	0.989683	0.974374	0.0251081	0.0195274	0.0137172	0.0488025	0.973948	0.977223	0.957026	0.0217049
z	0.0466081	0.98548	0.0335164	0.0348027	0.985023	0.985291	0.990911	0.983628	0.0303421	0.984356	0.985433	0.980808	0.0363462	0.0363946	0.0429733	0.0370484	0.0386422	0.0367873	0	0.9828	0.980673	0.983373	0.0284282	0.00819464	0.0259328	0.0605757	0.0374727	0.977321	0.0584467	0.0201861	0.979504	0.97691	0.0316073	0.0363292	0.0177463	0.0420624	0.975401	0.972235	0.0385725	0.980594	0.0515528	0.00933603	0.966403	0.0388418	0.0367306	0.964859	0.0310184	0.947936	0.0387439
o	0.982246	0.0160117	0.989464	0.984806	0.0289921	0.0295298	0.0382928	0.0229645	0.0377586	0.0251702	0.0337355	0.029385	0.984547	0.985313	0.98359	0.985883	0.985579	0.99189	0.9828	0	0.0219821	0.0176557	0.985369	0.986513	0.0325347	0.984144	0.984063	0.0214661	0.982776	0.979391	0.0163444	0.0174	0.976489	0.97973	0.977091	0.985172	0.0356821	0.0223527	0.982845	0.0206954	0.969692	0.968095	0.97081	0.970525	0.0421638	0.0193091	0.972541	0.952344	0.0365285
œ	0.980118	0.0193147	0.987337	0.982679	0.0268788	0.0243444	0.0373042	0.0255425	0.0344186	0.0238975	0.0297162	0.0249827	0.98242	0.983186	0.981463	0.983756	0.983452	0.989763	0.980673	0.0219821	0	0.0230308	0.983242	0.984385	0.0360729	0.982017	0.981936	0.0158041	0.980649	0.977264	0.0174975	0.0224892	0.974362	0.977603	0.974964	0.983045	0.0310634	0.01801	0.980718	0.0190682	0.967565	0.965968	0.968683	0.968398	0.973295	0.0247047	0.970414	0.950217	0.0282949
u	0.982818	0.0220113	0.990037	0.985379	0.0327872	0.0360674	0.031846	0.0310288	0.0332574	0.0316205	0.0295421	0.0379419	0.98512	0.985886	0.984163	0.986456	0.986152	0.992463	0.983373	0.0176557	0.0230308	0	0.985942	0.987085	0.0225018	0.984716	0.984636	0.024359	0.983349	0.979964	0.0182746	0.0198968	0.977062	0.980303	0.977664	0.985745	0.0392564	0.027416	0.983417	0.0150064	0.970264	0.968668	0.971383	0.971098	0.0294824	0.0120594	0.973113	0.952916	0.026253
ɣ	0.0325092	0.988049	0.0338333	0.0316252	0.987592	0.987859	0.993479	0.986197	0.0214943	0.986925	0.988001	0.983376	0.040395	0.0433189	0.0508931	0.0104268	0.0155702	0.0319905	0.0284282	0.985369	0.983242	0.985942	0	0.0408967	0.0271547	0.0434469	0.0196296	0.97989	0.0501571	0.0335058	0.982072	0.979478	0.0356123	0.036023	0.0375433	0.0405418	0.97797	0.974804	0.0220154	0.983162	0.00841296	0.0285857	0.968972	0.0529513	0.0506014	0.967427	0.0331898	0.0401987	0.0296733
