	kippen	mijn	vriend	bloemen	spinnen	machines	werk	op	schip	kregen	beschimmeld	brood	timmerman	splinter	vinger	fabriek	vier	bier	twee	drie	hij	knuppel	ik	knie	gezien	ragebol	pet	paddestoel	kerel	brede	stenen	breder	breedste	standbeeld	duivel	gebleven	meester	zee	graag	keelpijn	steel	bezem	neen	geroepen	peer	rijp	geld	ver	brengen	vrouw	zwemmen	sterk	bed	optillen	metselaar	springen	boterham	vader	zes	jaar	school	laten	gaan	water	potten	zijn	veel	maart	nog	koud	kaars	geeft	licht	paard	tegen	zwaluwen	kaas	motor	dag	avond	jongetje	barst	brief	hart	spannen	nieuwe	kar	zoon	koning	ook	geweest	rozen	lange	woord	kindje	was	dochtertje	bos	ladder	mond	droog	dorst	weg	krom	liedje	goed	kelder	voor	moest	ossenbloed	drinken	broer	moe	karnemelk	dun	zuur	put	uur	Italië	bergen	vuur	spuwen	duwen	hebben	stuk	brug	veulen	komen	deur	naaien	gras	brouwer	bakken	je	eieren	krijgen	markt	waren	vijf	eikels	hooi	is	groen	boompje	wijn	huis	melk	spuit	koe	koster	kruiwagen	buigen	Duitsers	blauw	geslagen	saus	flauw	sneeuw	stad	doen	dopen	doopvont	soldaten	dorsen	binden	gebonden
Ravenstein	kipə	mɛnə	vrint	blʊmə	spɪnə	məsinəs	wɑʀək	ʊp	sxɪp	kʀeɣə	bəʀsxʏməlt	bʀoət	tɪmərmɑn	splɪntəʀ	vɪŋəʀ	fəbrik	fiəʀ	biʀ	twej		hɛi	stʏkhɔutæinthɔutknʏpəl	ɪk	kni	ɣəzin	rɔɣəsbɔlspɪnəjɔɣəʀ	pæt	pɑdəstul	kæl	bʀɛijə	steənə	bʀɪjəʀ	bʀɪtstə	stɑnbeəlt	lysifɑʀ	ɣəblevə	mɛstəʀ	zej	ɣɛəʀ	pɛinɪndəkɛl	steəl	bɛsəm	nɛjə	ɣəʀupə	pɛəʀ	ʀɛip	xælt	fæʀ	bʀɪŋə	vrɔu	zwɛmə	stæʀək	bæt	ʊplɪxtə	mætsəlɔʀ	sprɪŋə	bɔtəʀɑm	vɔdəʀ	zɛs	jɔʀ	sxol	lɔtə	ɣɔn	wɔtəʀ	pɔtə	zɛin	føəl	maʀt	nɔx	kɔw	kɛʀs	ɣɪf	lɪx	pæʀt	teɣətɪɣə	zwɔləwə	kɛs	moətəʀ	dɑx	ɔvənt	jʏŋskə	bɑʀstsxøəʀ	bʀif	hɑʀt	spɑnə	nɛj	kɑʀ	zoən	koənɪŋ	ok	xəwɛst	roəzə	lɑŋə	woəʀt	kɛint	wɑs	dɛʀkəmæskə	bɔs	leəʀ	mɔnt	dʀøx	dɔʀst	wɛx	kʀʊm	litjəvɛʀʃə	xut	kɛldəʀ	fʏʀ	mus	ɔsəblut	dʀɪŋkə	bryʀ	muj	kɑʀnəmɛləkmɛlək	dʏn	zyə	pʏt	yʀ	itɔlijə	bɑʀəɣə	vyʀ	spywən	douwə	hɛbə	stʏk	bʀʏx	fʏlə	kʊmə	døʀ	nɑjə	ɣrɑs	brɔuwəʀ	bɑkə	ɣə	ajəʀ	kʀɛiɣə	mɑʀt	wɔʀə	vɛif	ɛikəls	hoj	ɪs	xʀyn	bʏmpkə	wæin	hœys	ʀɔmə	spœyt	ku	kʏstəʀ	kʀœwɔɣə	bœɣə	mʊfə	blɔw	ɣəslɔɣə	sɔus	flɔuw	snɔu	stɑt	duən	doəpə	doəpfɔnt	sɔldɔətə	dɔʀsə	bæində	xəbɔndə
Groesbeek		minə	kɑmərɔətvrint				wɑrək	ʊp	sxɪp	krɛəɣə		broəwt			vɪŋər		fir	biər	twɪjə	dri	hɪj	knœpəlstʏkhɔlt	ɪk	knekni	ɣezin				kɛl		steən	brɛijər			lysəfɛr	ɣəblevə	mjɛstər	zejə	ɣɛrn		stəəl	bæsəm		ɣərupə	pɛər	rip	xæltɣælt	wit	brɪŋəsxʏpə		zwɪmə		bæt			sprɪŋə		vɔdər	zɛs	jɔr	sxol	lɔtə	ɣɔn		pœt	zin	føəlfʏl	mɛrt	nɔx	kɑlt	kærs	xɛft	leəxt	pɛərt	tɛɣə		kɛəs		dɑx	ɔvənt		bɔrst	brif	haʀthɔʀt	spɑnə	nɛijə	kɔʀ	jɔŋzoən	kʏnɪŋ	ok	xəwɛ		lɑŋ	woərt	kintkiɲə	wɑs	dærɲə	wɑlt	leəʀ	mɔntmɔnt	drøəx	dœrstdɔrst	wæx	krʊm	dœntjə	xuət	kældər	fœr	mɔs		dreŋkə	bryər	my		dʏn	zur	pʏt	yr			vyr		dowə	hɪbə	stʏk	brʏx	fœləfʏlə	kʊmə	døər		ɣʀɑs		bɑkə	ɣɪj	ɛiəʀ	kriɣə		wɔʀə	vɛif		hœj	ɪs	xryən	bœmpkə	win	hys	ʀoəm	spæt	ku	kœstəʀ		byɣə		blɔw	ɣəslaɣə	sɔws	flɔw	snɛijsnɛw		dun	døəpədopə			dɔʀsə	binəbində	
Den Dungen		mənə	kamərot				wɑrək	ʊp	sxɪp	kreɣə		browət			vɪŋər		fir	biər	twe	dri	hɛi	klɪpəl	ɪk	knij	ɣəzin				vɛnt		stein	brɪjər			lysifɛr	ɣəbleivə	mɪstər	zezej	ɣærə		steəl	bɛsəm		ɣərupə	peər	rɛp	ɣæltɣælt	wɛit	brɛŋə		zwɛmən		bæt			sprɪŋə		vɑdər	zɛs	jor	skoəl	lotə	ɣoən		pɔtə	zɛn	vʏl	mɑrt	nɔx	kɔw	kɑrs			pært	teɣə		kezə		dɑx	ɔvənt		skʏrkə	brif	hɑrthɑrt	spɑnəzɛtə	nɛijə	kɑr	zoɑn	kʏnɪŋ	ok	xəwest		lɑŋ	wort	kintjə	war	dʏrskə	bɔs	leər	mɔnt	drøəx	dɔrst	wɛx		likə	xut	kɛldər	fʏr	mus		drɪŋkə	bryr	myx		dʏn	zuər	pʏt	yr			vyr		dɔwə	hɛn	stʏk	brʏx	fœlə	kʊmə	døər		ɣrɑs		bɑkə	ɣə	ɑjər	krɛɣə		warə	vɛf		hoəj	ɪs	xryn	bʏmpkə	wɛin	hɔws	rɔmə	spætəspæt	ku	kʏstər		bœɣəzɛtə		blɔuw	ɣəslɔɣə	sɑussœys		snʏw		dun	doəpə			dɔrsə	bɛənə	
Zeeland		mɛnə	kamərɔt				wɑrək	ʊp	sxɪp	kriəɣə		bruwət			vɪŋər		fir	biər	twijə	dre	hɛi	knʏpəl	ɪk	knej	ɣəzin				kɛl		stiən	brɪjər			lyzifɛr	ɣəblɪvə	mæstər	zijə	ɣer		steəl	bɛsəm		ɣərupə	pɛər	rɛip	ɣælt	wɛit	brɛŋə		zwɛmə		bɛt			sprɪŋə		vadər	zɛs	jɔər	sxoəl	lɔtə	ɣɔ		pɔtə	zɪŋ	føəl	mɛrt	nɔx	kaw	kɑrs	ɣɪft	lɪxt	pɛrt	teɣə		keəs		dɑx	ovənt		bɔrst	brif	hart	spɑnə	nɛijə	kars	zoən	kʏnɪŋ	ok	xəwɪxəwɛ		laŋ	wort	kintjə	war	dœrskə	bɔs	liər	mɔnt	dryəx	dɔrst	wɛx		litjə	xut	kɛldər	fʏr	mɔs		drɪŋkə	bryr	mœj		dœn	zyər	pʏt	yr			vyr		dɔwə	hæbə	stʏk	brʏx	fœlə	kʊmə	dør		ɣrɑs		bɑkə	ɣə	ɑjər	kreiɣə		warə	vɛf		hojhɔj	ɪs	xryn	bʏmpkə	wɪŋwɛin	hœys	rɔmə	spœytə	kow	kœstər		bœyɣə		blɔw	ɣəslaɣə	sɔus	flɔw	snʏw		dun	duəwpə			dɔrsə	beŋəbɛinə	
Rijkevoort		minə	vʀint				wɛʀək	ʊp	sxɪp	kʀɪɣə		bʀuət			vɪŋəʀ		fiʀ	biəʀ	twiə	dʀi	hɪ	knʏpəl	ɪk	knɛi	ɣəzin				kɛl		stiən	bʀɛjəʀ			lysifæʀlysifɛʀ	ɣəblevə	mɛistəʀ	ziə	ɣæʀ		steəl	bœsəmbɛsəm		ɣəʀupə	pɛəʀ	ʀip	ɣɛlt	wit	bʀɪŋə		zwɪmən		bɛt			spʀɪŋə		vɑdəʀ	zɛs	jɔʀ	sxʊl	lɔtə	ɣɔən		pɔtə	zin	fʏl	mæʀt	nʊx	kɑəlt	kɛʀs	ɣɪf	lɪxt	pɛəʀt	tɛɣə		kɛəs						bʀiv	hɑʀt	spɑnə	nɪi	kɑʀ	jʊŋ	kœnɪŋ	ʊk	xəwɛ		lɑŋ	wɔəʀt	kiɲtʃə	wɑz	dɛʀkə	bʊs	liəʀ			dʊʀst	wɛx		litʃə	xut	kɛldəʀ	fʏʀ	mʊs		dʀɪŋkə	bʀyʀ	myj		dʏn	zuəʀ	pʏt	yəʀ			vyəʀ		dʊuwə	hɛbə	stʏk	bʀʏx	fœlən	kʊmə	dyəʀ		ɣʀɑs		bɑkə	ɣə	ɛjəʀ	kʀiɣən		wɑʀə	vɛif		hʊj	ɪs	xʀyn	bœmkə	win	hys	ʀɔmə	spœytə	ku	kœstəʀ		byəɣən		blʊu	ɣəslaɣə	sʊuz	flʊulɑf	snɛu		dun	dyəpə			dɔʀsə	binə	
Sint Oedenrode		mənə	kamərɔt				kɑrwɑj	ʊp	skɪp	kreɣə		browət			vɪŋər		fir	bir	twej	dri	hæi	klɪpəl	ɪk	kni	ɣəziən				kɛrəl		stejn	brejər			lysifɑrdyvəl	ɣəblɪvə	mjɛstər	ze	ɣarə		steəl	bɛsəm		ɣərupə	peər	rɛip	ɣælt	wɛit	brɛŋəskʏpə		zwɛmə		bæt			sprɪŋə		vɔdər	zɛs	jɔər	skoəl	lɔtə	ɣɔn		pɔtə	zɛin	fjøl	mɑrt	nɔx	kɑu	kɑrs	ɣɪf	lɪxt	pært			kɛəs		dɑx	ɔvənt		skør	brif	hɑrt	spɑnə	nɛij	kɑr	zown	kʏnɪŋ	ɔk	xəwest		lɑŋ		kintjə	war	djʏrskə	bɔs	leər	mɔnt	drøəx	dɔrst	wɛx	krʊm	likə	xut	kældər	fʏr	mus		drɪŋkə	bryr	mux		dʏn	zur	pʏt	yr			vyər		dœwə	hɛbə	stʏk	brʏx	fʏlə	kʊmə	døər		ɣrɑs		bɑkə	ɣə	ɑjər	krɛiɣə		warə	vɛif		hoj	ɪs	xryn	bœmpkə	wɛin	hœws	rɔmə	spæitə	ky	kœstər		zɑkənzɛtən		blœw	ɣəslaɣə	sɑus	flœw	snjœsnœw		duwn	doəwpə			dɔrsə	bɛinə	
Gemert	hɛnə	mənə	kamərɔət	blumə	spɪnə	məʃin	wɑrək	ʊp	skɪp	kreɣə	vərsxɪməlt	browət	tɪmərmɑn	splɪntər	vɪŋər	fabrik	fir	biər	twɛi	dre	hɛi	klʏpəl	ɪk	knej	ɣəziən	spɪnəjaɣər	pæt	pɑdəstul	vænt	brej	steən	brɪjər	brejstə	stɑnbɪlt	lysifɛr	ɣəblevə	mɛstər	zɛijə	ɣɛər	peŋɪnzənkeəl	stel	bɛsəm	nɛijə	ɣəʀupə	pɛr	ʀɛip	ɣælt	wait	brɛŋə	wæif	zwɛmə	stɑrək	bɛt	ʊpfɑtə	mɛtsələr	sprɪŋə	botərɑm	vɑdər	zɛs	jɔr	skoəl	lɔtə	ɣɔn	watər	pɔtə	zɛin	føəl	mɑrt	nɔx	kɑw	kars	xɪf	lex	pært	teɣə	zwalɪŋə	kɛis	moətər	dɑx	ɔvənt	jøŋskə	skør	brif	hɑrt	spɑnə	nɛj	kars	zɔn	kʏnɪŋ	ok	xəwɪst	ʀozə	lɑŋ		kinəkə	wɑs	dʏrskə	bɔs	lɛir	mɔnt	drœx	dɔrst	wɛx		litjə	xut	kɛldər	fʏr	mus	ɔsəblut	drɪŋkə	bryr	muj	mœlək	dʏn	zur	pʏt	yr	italijə	bɑrəx	vyr	spɑwə	dɑwə	hɛbəhæn	stʏk	brøx	fʏlə	kʊmə	dœr	nɑjə	ɣrɑs	brɔwər	bɑkə	ɣə	ɑər	kriɣə	mɑrt	warə	vɛf	ɪkəls	hoj	ɪs	xryən	bʏmpkə	wɛin	hœys	ʀɔmə	spœytə	kow	kœstər	krɑiɣə	bœyɣəbɔiɣə	dɔitsərs	blɔw	ɣəslɑɣə	sɑus	flɔw	snɔwsnʏw	stɑt		doəpə	dopfɔnt	sɔldɔtə	dɔrsə	bɪŋə	xəbɔnə
Bakel		mɛnə	kamərat				wɑrək	ʊp	skɪp	krɪɣə		brɔuwət			vɪŋər		fiər	biər	twɛijə	dri	hɛi	klʏpəl	ɪk	knai	ɣəziə				kɛrəlkɛəl		stɛin	brejər			dyvəl	ɣəblɪvə	mɛstər	zɛijə	ɣɛr		steəl	bɛsəm		ɣərupə	pɛər	rɛip	ɣælt	wɛit	brɛŋə		zwɛmə		bɛt			sprɪŋə		vadər	zɛs	jɔər	skoəl	latə	ɣɔn		pœt	zɪŋ	føəl	mɛrt	nɔx	kɑuw	kɑrs	ɣɪf	lext	pɛrt	teɣə		kɛis		dɑx	ɔvənt		bɛrst	brif	hɑrthɑrt	spɑnə	nɛj	kɑrs	zoən	kʏnɪŋ	ok	xəwɪst		lɑŋ		klɛŋ	wɑs	dʏrskə	bɔs	lɛiər	mɔnt	drœyx	dɔrst	wɛx	krʊm	litjə	xut	kɛldər	vʏr	mɔs		drɪŋkə	bryr	myx		dœn	zur	pʏt	yr			vyr		dɑwə	hɛbə	stʏk	brʏx	fœlə	kʊmə	dœr		ɣrɑs		bɑkə	ɣə	ɛr	kriɣə		warə	vɛf		hoj	ɪs	xryn	bʏmpkə	wɪŋ	hœys	ʀɔmə	spœytənspɛitən	ku	kœstər		zɑkəzɛtə		blɔw	ɣəslɑɣə	sɑus	flɔw	snʏwsnɪw		dun	dɔupə			dɔrsə	bɪŋə	
Venray	hɪnə	minə	vʀint	blʊmə	spɪnə	məʃɪnəs	wɛʀək	ɔp	buət	kʀeɣə	bəsxʏməlt	bʀuət	tɪməʀmɑn	splɪntəʀ	vɪŋəʀ	fəbʀik	viʀ	biʀ	twiə	dʀi	he	klʏpəl	ɪk	knei	ɣezin	spɪnjɛɣəʀ	kips	pɛdəstul	kɛl	bʀi	stiən	bʀɛiəʀ	bʀɪtstə	stɑnbelt	lysifɛʀ	ɣəblevə	mɛstəʀ	ziə	ɣɛʀ	pinɪndəkɛl	stel	bɛsəm	niə	ɣəʀupə	pɛʀ	ʀip	ɣɛlt	wit	sxœpə	vʀʊu	zwɛmə	stɛʀk	bɛt	ɔphœfə	mɛtsələʀ	spʀɪŋən	bʊtəʀɑm	vadəʀ	zɛs	jɔʀ	sxʊl	lɔtə	ɣʊn	watəʀ	pœt	zin	vøl	mɑʀt	nɔx	kɑlt	kɛʀs			pɛʀt	teɣə	zwɛləʋə	kiəs	motəʀ	dɑx	ɔvənt	jʏŋskəmɛnəkə		bʀif	hɑʀt	spɑnə	nei	kɑʀ	zon	kʏnɪŋ	ɔk	xəwɪst	ʀuəzə	lɑŋ	woʀt	kintʃə	wɑs	mɑtʃə	bʊs	liʀ	mʊnt	dʀyəx	dɔʀst	wɛx	kʀom	litʃə	xut	kɛldəʀ	fʏʀ	mʊs	ʊsəblut	dʀɪŋkə	bʀyʀ	myj	bʊtəʀmɛlk	dʏn	zuʀ	pʏt	yʀ	italijə	bɛʀəɣ	vyʀ	spɛjə	douwə	hɛbə	stʏk	bʀʏx	vʏlən	kʊmə	døʀ	nɛjə	ɣʀɑs	bʀɔuwəʀ	bɑkə	ɣə	ɛiəʀ	kʀɪɣə	mɛʀət	wɔʀəwaʀə	vif	ɛkəls	hœy	ɪs	xʀyn	bœmkə	win	hys	mɛlək	spœt	ku	kœstəʀ	kʀuwaɣə		mʊfəpʀysə	blɔuw	ɣəslaɣə	sɔus	lɑf	snei	stɑt	dun	dyəpə	duəpfʊnt	səldɔtə	dɔʀsə	bində	xəbʊndə
Wanssum		mɪnə	kaməʀɔt				wɛʀk	ɔp	sxɪp	kʀeɣə		bʀuət			vɪŋəʀ		fiʀ	biəʀ	twiə	dʀi	hɛi	knʏpəl	ɪk	knɛi	ɣəziən				kɛəl		stiən	bʀɛiəʀ			dyvəl	ɣəblevə	mɛistəʀ	ziə	xɛəʀ		stel	bɛsəm		ɣəʀopə	pɛʀ	ʀip	ɣɛlt	wit	bʀɪŋə		swɛmə		bɛt			spʀɪŋə		vadəʀ	zɛs	jɔʀ	sxʊl	lɔtə	ɣɔn		pœt	zin	fœl	maʀt	nɔx	kɑlt	kɛʀs	ɣɪvd	lɪxt	pɛʀt			kiəs			ɔvənt		baʀst	bʀef	haʀthaʀt	spɑnə	nɛi	kɑʀ	jʊŋzoən	kœnɪŋ	ɔk	xəwɛst		lɑŋ		kintʃə	was	mɛxjə	bʏs	lijəʀ	mʊnt	dʀyəɣ	dʊʀs	wɛx	kʀʊm	litʃə	xut	kɛldəʀ	fʏʀ	mʊs		drɪŋkə	bʀyəʀ	myi		dʏn	zuʀ	pʏt	yʀ			vyʀvyʀ		douwə	hɛbə	stʏk	bʀʏx	følən	kʊmə	dyʀ		ɣʀɑs		bɑkə	ɣə	ɛiəʀ	kʀiɣən		wɔn	vif		hœi	ɪs	ɣʀyən	bœmkə	win	hyz	mɛlk	spœt	kɔu	kœstəʀ		byəɣənzɑkən		blɔuw	ɣəslaɣə	sɔus	flɔulɑf	sne		don	dyəpə			dœʀsə	bində	
Helmond	hɛnən	mənə	mɑt	blumə	spɪnə	məsinəməʃinə	wɛʀək	ɔp	skɪp	kʀeɣə	bəskɪməld	bʀɑut	tɪməʀmɑn	splɪntəʀ	vɪŋəʀ	fəbʀik	fiʀ	biʀ	twei	dʀi	hæ	klʏpəl	ɪk	kni	ɣəzin	spɪnəjaɣəʀ		pɑdəstul	keʀəl	bʀei	steinəstein	bʀejəʀ	bʀɪtstə	stɑmbelt	dyvəl		mjɪstəʀ	zɛi	ɣɛəʀ	pɛŋɪzəŋkɛəl	stel	bɛsəm	nɛj	ɣəʀopə	pɛʀ	rɛip	ɣɛlt	wɛid	bʀɛŋə	vʀɔuwwɛiv	zwɛmə	stɛʀək	bɛt	upfɑtə	mætsəlɔʀ	spʀɪŋə	botərɑm	vadəʀ	zɛs	jɔəʀ	skol	lʊətə	ɡɔən	wɑtər	pɔtə	zɛn	føl	mɛəʀt		kaw	kɑʀs	ɣɛft	lɪxt	pɛəʀt		zwalɪŋə	kɛəs	motəʀ	dax	ʊvənt	jʊŋə	spʀuŋ	bʀiv	haʀt	spɑnə	nejə	kaʀ	zon	kʏniŋk	ok	xəwest	ʀuəzə	laŋ		kintjəklɛnə	waʀ	mɑiskəmɑisjə	bɔs	lɛijəʀ	mʊnt	dʀɔix	dɔʀst	wɛx	kʀʊm	litjə	xu	kɛldəʀ	fɔʀ	must	ʔɔsəblut	dʀɪŋkən	bʀyjəʀ	møyx	mʏlək	dʏn	suʀ	pʏt	yjəʀ	itɑli	bɛʀəɣə	vyʀ	spɑuwən	dawə	hɛbə	stʏk	bʀʏɣ	følən	kʊmə	døʀ	nɛijə	ɣʀɑs	bʀɔuwəʀ	bɑkə	ɣə	ʔɛjəʀ	kʀiɣən	mæəʀt	wɑʀə	vɛif	jɪkəls	hoj	ɪs	xʀøn	byəmkə	wɪŋ	ɔiz	ʀumə	spœtspiətst	kuj	kʏstəʀ	kʀɔiwaɣə	bɔiɣə	mʊfədɔitsəʀz	blʊw	ɣəslaɣə	sɑuz	flʊuw	snowsneuw	stɑt	dun	dɑupə	dɑupfʊnt	sɑldʊətə	dɔsə	bɪŋɪ	xəbʊndən
Geldrop		mənə	kamərɔut				wɑrək	ʊp	sxɪp	kreɣə		broəwət			vɪŋər		fir	biər	twejə	dri	hɛi	klɪpəlstɔk	ɪk	knɛi	ɣəzi				kɛrəl		steən	brejər			lysifɛr	ɣəblɪvə	mjɪstər	zejə	xɛr		stɛəl	bɛsəm		ɣərupə	pɛər	rep	ɣælt	wœyt	brɛŋə		zwɛmə		bɛt			sprɪŋə		vadərvajər	zɛs	jɔər	sxɔul	lɔutə	ɣɔu		pœt	zœyn	vœəl	mjɛrt	nɔx	kɑu	kɑrs	ɣɪ	lɪxt	pjɛrt	teɣə		kɛiskɛskæis		dɑx	ɔvənt		bɔrst	brif	hɑrt	spɑnə	næi	kɑr	zɔun	kʏnɪŋ	ok	xəwɛist		lɑŋ	wɔurt	kintjə	wɑs	dɔxtərkə	bɔs	ler	mɔnt	drœx	dɔrst	wɛx	krʊmp	litjə	xut	kældər	fʏr	mus		drɪŋkə	bryr	myx		dʏn	zur	pʏt	yr			vyr		dœwə	hɛn	stʏk	brʏx	fʏlə	kʊmə	dœr		ɣrɑs		bɑkə	ɣə	ar	kreɣə		warə	vœyf		hwoj	ɪs	xryn	bwʏmpkə	wœyn	hœys	rɔmə	spirtstspirtsə	ku	kœstər		bœyɣə		blœw	ɣəslaɣə	sɑus	flœw	snʏw		du	doəpə			dɔrsə	bœynə	
Riethoven	hɛnə	mənə	vrɪnt	blumə	spɪnə	məsinə	wɑrək	ʊp	sxɪp	kreɣə	vərsxɪməlt	browət	tɪmərmɑn	splɪnstər	vɪŋər	fabrik	fir	biər	twe	dri	hɛi	klɪpəl	ɪk	kni	ɣəzin	spɪnəjɔɣər	mʏts	pɑdəstul	kɛrəl	brejə	steən	brejər	brestə	stɑnbelt	lysifɛr	ɣəblevəɣəblɛivə	mestər	ze	ɣɛr	ətɪnzənkeəl	steəl	bɛsəm	nɛijə	ɣərupə	pɛər	rɛp	ɣɛlt	wɛt	brɛŋə	vrɔuw	zwɛmə	stɑrək	bɛt	ʊphɛfə	mɛtsər	sprɪŋə	botərɑm	vadər	zɛs	jɔr	sxol	lɔtə	ɣɔn	wɔtər	pɔtə	zæn	føəl	mɛrt	nɔx	kɑu	kɑrs	xef	lɪxt	pɛrt	tɛiɣə	zwɔləwə	kɛs	motər		ɔvənt	jɔŋə	sxøər	brif	hɑrt	spɑnə	niw	kɑr	zɔun	konɪŋ	ok	xəwest	rozə	lɑŋ	wort	jʊŋk	war	mæskəwɪxt	bɔs	leər	mɔnt	drøəx	dɔrst	wɛx	krʊm	likə	xut	kɛldər	fʏr	mɔs	ɔsəblut	drɪŋkə	bryr	myx	mœlək	dʏn	zur	pʏt	yr	italijə	bɑrəɣə	vyr	spœwə	dœwə	hɛbə	stʏk	brʏɣ	følə	kʊmə	dør	nɑjə	ɣrɑs	brɑuwər	bɑkə	ɣə	ajər	kræiɣə	mɑrt	warə	vɛf	økəls	hoj	ɪs	xryn	bʏmpkə	wɛn	hɑus	rɔmə	spætə	ku	kʏstər	krøɣə	bœɣə	dʏtsərs	blɔw	ɣəslɔn	sɑus	flɔw	snʏw	stɑt	dun	dopə	dopfɔnt	sɔldɔtə	dɔrsə	bɛnə	xəbɔndə
Meijel		mɪnə	kɑmərɔt				wɛʀək	ɔp	ʃep	kʀeɣə		bruət			vɪŋər		vɪʀ	bir	twɛ	drei	hɛi	klɪpəl	ɪk	knɛi	ɣəzin				kɛl		stiən	brɛiər			lysifər	ɣəblevə	mɛstər	ziə	ɣɛr		stel	bɪsəm		ɣərupə	pɛr	rip	ɣɛlt	witʃ	brɪŋə		zwɪmə		bɛt			sprɪŋə		vadər	zɛs	jɔr	ʃol	lɔtə	ɣɔə		pʏt	zɪn	vøl	mɛrt	nɔx	kɑu	kɑrs	ɣɪf	lext	pɛrt	teɣə		kɛəs		dɑx	ɔvənt		bʊrst	brif	hɑrt	spɑnə	nɛi	kɑr	zon	kʏnɪŋ	ʊk	xəwɛst		laŋ	wort	keɲtʃəwext	wɑs	dœxtərkə	bʊs	liər	mʊnt	dryəx	dorst	wɛx	krʊmp	litʃə	xu	kɛldər	vʏr	most		drɪŋkə	bryr	myx		dʏn	zur	pʏt	yr			vyr		dɔuwə	hɛbə	stʏk	brøx	vʏləfʏlə	kʊmə	dør		ɣrɑs		bɑkə	ɣə	ɛiər	kriɣə		wɑrə	vɛif		hʊi	ɪs	xryn	bœmkə	wɪɲ	hʏʃ	rʊmə	spœtʃ	ku	kʏstər		byɣə		blɔu	ɣəslaɣə	sʊus	flɔu	snʊu		du	duəpə			dʊrsə	bɪŋə	
Tegelen	tytə	minə	kɑməʀʊət	blomə	ʃpɪnə	məʃin		ɔp	ʃep	kʀeɣə	bəʃʏməlt	bʀuət	tʏməʀmɑn	splɪntəʀ	vɪŋəʀ	fəbʀik	feʀ	beəʀ	twiə	drɛi	hɛ	klœpəl	ɪx	kneən	ɣəzen	ʃpɪnəjɛɣəʀ	mœts	pɛdəʃtoəl	kɛʀəl	bʀɛi	ʃtɛin	bʀɛiəʀ	bʀɛitstə	ʃtɑnbelt	lysifɛʀ	ɣəblevə	mɛistəʀ	ziə	ɣɛəʀ	pinɪndənɛk	ʃtel	bɛsəm	nɛə	ɣəʀopə	pɛʀ	ʀip	ɣɛlt	wit	bʀɪŋə	vʀɔu	ʒwʏmə	ʃtɛʀəɡ	bɛt	ɔphœfə	mɛtsəleʀ	ʃpʀɪŋə	bʊtəʀɑm	vadəʀ	zɛs	jɔəʀ	ʃuəl	lɔtə	ɣɔən	watəʀ	pœt	sin	fyl	miəʀt	nɔx	kat	kɛʀs	ɣʏf	lex	pɛʀt	tɛɣə	ʒwɑləmə	kiəs	motəʀ	dax	ɔəvənt	jʏŋskə	ʃøʀ	bʀef	hɛʀtʃə	ʃpɑnə	ni	kɛʀ	jʊŋ	kønɪŋ	ɔux	xəwɛəs	ʀuəzə	lɑŋ	wɔəʀt	kiɲtʃə	waz	dœxtəʀkəkɪŋk	bœs	lɛjəʀ	mʊŋk	dʀyəx	dʊʀs	wɛx	kʀʊmp	letʃə	xot	kɛldəʀ	fʏʀ	mʊs	ɔsəblot	dʀɪŋkə	bʀoʀ	myx	bʊtəʀmɛlək	dʏn	zuəʀ	pœt	uəʀ	ɪtalijə	bɛʀəx	vøʀ	ʃpɪjə	dyjə	hɛbə	ʃtœk	bʀʏk	følə	kʊmə	døʀ	nɛiə	ɣʀas	bʀɔuwəʀ	bɑkə	du	ɛiəʀ	kʀiɣə	mɛʀət	waʀə	vif	ɛikəls	hœj	ɪs	xʀøən	bʏmkə	win	huz	mɛlək	ʃpœt	ku	kœstəʀ	ʃœʀkɛʀ	bœyɣən	pʀysə	blɔu	ɣəʃlaɣə	sɔus	flɔu	ʃniə	ʃtɑt	don	dœypə	dœypfʊnt	ʃəldɔtə	dɔʀsə	bɪŋə	xəbʊŋə
