location	word	transcription
Hollum	bloemen	blum
Hollum	spinnen	spɪnə
Hollum	machines	məsinəs
Hollum	werk	ʋɛrk
Hollum	op	ʊp
Hollum	schip	skɪp
Hollum	kregen	kreɣə
Hollum	beschimmeld	skɪmələɣ
Hollum	brood	broət
Hollum	timmerman	timərmɑn
Hollum	splinter	splɪntər
Hollum	vinger	fɪŋər
Hollum	fabriek	fəbrik
Hollum	vier	fiə
Hollum	bier	biər
Hollum	twee	tʋiə
Hollum	drie	driə
Hollum	hij	hɛi
Hollum	knuppel	knɛpəl
Hollum	ik	ɪk
Hollum	knie	knɪbəl
Hollum	gezien	siən
Hollum	ragebol	raɣəbɔl
Hollum	pet	pɛt
Hollum	paddestoel	pɑdəstuəl
Hollum	kerel	keərl
Hollum	brede	bredə
Hollum	stenen	stin
Hollum	breder	bredər
Hollum	breedste	brestə
Hollum	standbeeld	stɑndbelt
Hollum	duivel	dyvəl
Hollum	gebleven	blevən
Hollum	meester	mestər
Hollum	zee	se
Hollum	graag	ɣraɣ
Hollum	keelpijn	pɪnəkel
Hollum	steel	stɔk
Hollum	bezem	bezəm
Hollum	neen	
Hollum	geroepen	rupə
Hollum	peer	peər
Hollum	rijp	rip
Hollum	geld	ɡɛlt
Hollum	ver	feər
Hollum	brengen	brɪŋə
Hollum	vrouw	frɔu
Hollum	zwemmen	sʋɛmə
Hollum	sterk	stɛrk
Hollum	bed	bɛəd
Hollum	optillen	ʊptɪln
Hollum	metselaar	mɛtslər
Hollum	springen	sprɪŋə
Hollum	boterham	brʊt
Hollum	vader	fadər
Hollum	zes	sɛs
Hollum	jaar	jɑr
Hollum	school	skuəl
Hollum	laten	latn
Hollum	gaan	ɡɑ
Hollum	water	ʋatər
Hollum	potten	pɔtn
Hollum	zijn	bɪn
Hollum	veel	føl
Hollum	maart	mat
Hollum	nog	nɔx
Hollum	koud	kʊəd
Hollum	kaars	keəs
Hollum	geeft	ɡeft
Hollum	licht	lɪxt
Hollum	paard	peət
Hollum	tegen	tøɣə
Hollum	zwaluwen	sʋɑlywə
Hollum	kaas	kes
Hollum	motor	motər
Hollum	dag	dɑɣ
Hollum	avond	avən
Hollum	jongetje	jʊŋətjə
Hollum	barst	bɑist
Hollum	brief	briu
Hollum	hart	hait
Hollum	spannen	spɑ
Hollum	nieuwe	nɛijə
Hollum	kar	kɑr
Hollum	zoon	søn
Hollum	koning	koənɪŋ
Hollum	ook	ʊk
Hollum	geweest	ʋest
Hollum	rozen	roəzn
Hollum	lange	lɑŋə
Hollum	woord	ʋoət
Hollum	kindje	kin
Hollum	was	ʋɑr
Hollum	dochtertje	mɛiskə
Hollum	bos	bʊs
Hollum	ladder	lɛdər
Hollum	mond	mʊən
Hollum	droog	drox
Hollum	dorst	dʏst
Hollum	weg	ʋɛx
Hollum	krom	
Hollum	liedje	fɛsi
Hollum	goed	ɣuət
Hollum	kelder	kɛldər
Hollum	voor	foə
Hollum	moest	mʊst
Hollum	ossenbloed	ɔsəbluəd
Hollum	drinken	drɪŋkə
Hollum	broer	bruər
Hollum	moe	muəd
Hollum	karnemelk	syp
Hollum	dun	dʏn
Hollum	zuur	syər
Hollum	put	pʏt
Hollum	uur	yər
Hollum	Italië	ɪtɑlijə
Hollum	bergen	bɛrɣən
Hollum	vuur	fyər
Hollum	spuwen	spywə
Hollum	duwen	dywə
Hollum	hebben	hɛ
Hollum	stuk	stɪk
Hollum	brug	brʏx
Hollum	veulen	foəlfœlkə
Hollum	komen	kʊmə
Hollum	deur	døər
Hollum	naaien	nɑijə
Hollum	gras	ɡɑis
Hollum	brouwer	brɔuwər
Hollum	bakken	bɑkə
Hollum	je	jɔu
Hollum	eieren	ɛijərs
Hollum	krijgen	krɛijə
Hollum	markt	mɛrk
Hollum	waren	ʋɑrə
Hollum	vijf	fɛif
Hollum	eikels	ekəls
Hollum	hooi	hoi
Hollum	is	ɪz
Hollum	groen	ɡruən
Hollum	boompje	bomkə
Hollum	wijn	ʋin
Hollum	huis	hyz
Hollum	melk	mɛlk
Hollum	spuit	spœit
Hollum	koe	ku
Hollum	koster	kɔstər
