location	word	trs
lipnica, botgr	10	vˈeʒdɑ
ljubenova mahala, nzag	10	vʲˈeʒdə
lobosh, rad	10	vˈeʒdɑ
lozen, sof	10	vˈeʒdɑ
malomirovo, elh	10	vʲˈɑʒdə
marchaevo, sof	10	vˈeʒdɑ
marikostinovo, petr	10	vˈeʒdɑ
markovo, shum	10	vʲˈɛʒdə
merdanja, vtarn	10	vʲˈeʒdə
merichleri, chirp	10	vʲˈɑʒdə
mihalci, pavl	10	vʲˈeʒdə
milchina laka, kul	10	veʒdˈɑ
momchilovci, smol	10	vʲˈɛɕkə
momina banja, pl	10	vʲˈeʒdə
momina klisura, pz	10	vˈeʃkə
momkovo, svgr	10	vˈeʃkə
mugla, dev	10	vˈɛɕkə
nikolovo(lipnik), rus	10	vʲˈeʒdə
nikolovo, hask	10	vʲˈeʃkə
noevci, brezn	10	ved_ʒˈɑ
nova lovcha, gd	10	vʲˈɛʒdə
nova nadezhda, hs	10	vʲˈɑʃkə
novo selo, trojan	10	*vʲˈeʒdə
ognen, karn	10	vʲˈeʒdə
omarchevo, nzag	10	vʲˈeʒdə
opan, stzag	10	vʲˈɑʃkə
osenec, razgr	10	*vʲˈeʒdə
panagjurishte, gd	10	vʲˈɑʒdə
paskalevec, pavl	10	vʲˈeʒdə
pavelsko, asgr	10	vʲˈeʑɡə
pelatikovo, kjust	10	vˈeʒdɑ
petarnica, plev	10	vˈɛʒdə
pevec, targ	10	vʲˈɛʒdə
plakovo, vt	10	vʲˈeʒdə
podvis, karn	10	vʲˈeʒdə
pozharevo, tutr	10	vʲˈeʒdə
rabisha, belgr	10	ved_ʒˈɑ
radovene, vr	10	*vɛʒdˈɤ
rakevo, vr	10	veʒdˈɑ
rakovica, kul	10	veʒdˈɑ
rani lug, tryn	10	ved_ʒˈɑ
razboishte, god	10	ved_ʒˈɑ
ruzhinci, belgr	10	veʒdˈɑ
sadina, pop	10	vʲˈeʒdə
saparevo, dup	10	vˈeʒdɑ
sekirovo, plov	10	vʲˈeʒdij
senokos, blgr	10	vˈeʒdɑ
sestrino, petr	10	vˈeʒdɑ
shipka, kaz	10	vʲˈeʒdə
shiroka laka, dev	10	vˈɛɕkə
shiroki dol, sam	10	vˈeʒd_ʒɑ
shtipsko, prov	10	veʒdˈa
skobelevo, sliv	10	vʲˈeʒdə
slaveino, smol	10	vˈɛʑdə
